## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647655.rg.bam] OUTPUT=SRR11647655.dedup.bam METRICS_FILE=SRR11647655_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:26:58 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	14103160	294001520	37718850	0	2748217	11399897	0	0.042431	3692478804

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	271728330	271728330
2.0	1.923466	10003802	10003802
3.0	2.776254	408290	408290
4.0	3.563775	56638	56638
5.0	4.291024	24672	24672
6.0	4.962613	14314	14314
7.0	5.582803	8965	8965
8.0	6.155526	5750	5750
9.0	6.684417	3932	3932
10.0	7.172829	2641	2641
11.0	7.623861	1799	1799
12.0	8.040373	1256	1256
13.0	8.425008	837	837
14.0	8.780205	645	645
15.0	9.108218	449	449
16.0	9.411126	310	310
17.0	9.690851	248	248
18.0	9.949168	201	201
19.0	10.187714	154	154
20.0	10.408004	122	122
21.0	10.611433	88	88
22.0	10.799294	73	73
23.0	10.972776	61	61
24.0	11.132982	48	48
25.0	11.280926	39	39
26.0	11.417547	34	34
27.0	11.543712	27	27
28.0	11.660221	17	17
29.0	11.767813	28	28
30.0	11.86717	19	19
31.0	11.958924	15	15
32.0	12.043655	15	15
33.0	12.121901	13	13
34.0	12.194159	8	8
35.0	12.260886	7	7
36.0	12.322507	10	10
37.0	12.379411	4	4
38.0	12.43196	6	6
39.0	12.480488	5	5
40.0	12.525301	4	4
41.0	12.566685	2	2
42.0	12.604901	2	2
43.0	12.640193	5	5
44.0	12.672783	5	5
45.0	12.70288	3	3
46.0	12.730672	6	6
47.0	12.756338	4	4
48.0	12.78004	1	1
49.0	12.801927	2	2
50.0	12.822139	3	3
51.0	12.840805	2	2
52.0	12.858041	3	3
53.0	12.873959	0	0
54.0	12.888658	2	2
55.0	12.902233	5	5
56.0	12.914768	1	1
57.0	12.926344	3	3
58.0	12.937034	0	0
59.0	12.946906	1	1
60.0	12.956023	0	0
61.0	12.964441	0	0
62.0	12.972216	0	0
63.0	12.979395	0	0
64.0	12.986025	0	0
65.0	12.992147	0	0
66.0	12.997801	0	0
67.0	13.003022	0	0
68.0	13.007844	0	0
69.0	13.012297	0	0
70.0	13.016408	1	1
71.0	13.020205	1	1
72.0	13.023712	0	0
73.0	13.02695	1	1
74.0	13.02994	0	0
75.0	13.032702	1	1
76.0	13.035252	1	1
77.0	13.037607	0	0
78.0	13.039781	0	0
79.0	13.04179	0	0
80.0	13.043644	0	0
81.0	13.045357	0	0
82.0	13.046938	0	0
83.0	13.048399	0	0
84.0	13.049748	0	0
85.0	13.050993	0	0
86.0	13.052143	1	1
87.0	13.053205	1	1
88.0	13.054186	1	1
89.0	13.055092	0	0
90.0	13.055928	0	0
91.0	13.056701	0	0
92.0	13.057414	0	0
93.0	13.058073	0	0
94.0	13.058681	1	1
95.0	13.059243	0	0
96.0	13.059762	0	0
97.0	13.060241	0	0
98.0	13.060683	0	0
99.0	13.061092	0	0
100.0	13.061469	1	1
139.0	0	1	1
196.0	0	1	1

