## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647665.rg.bam] OUTPUT=SRR11647665.dedup.bam METRICS_FILE=SRR11647665_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed May 06 02:13:47 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	25859170	299685084	36379003	0	5145923	17627443	0	0.064618	2446574613

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	264609326	264609326
2.0	1.884713	15647527	15647527
3.0	2.667431	808711	808711
4.0	3.359911	60682	60682
5.0	3.972558	13802	13802
6.0	4.514575	6575	6575
7.0	4.994104	3831	3831
8.0	5.41835	2449	2449
9.0	5.793686	1658	1658
10.0	6.125751	1111	1111
11.0	6.419533	799	799
12.0	6.679446	538	538
13.0	6.909394	359	359
14.0	7.112833	232	232
15.0	7.292817	168	168
16.0	7.452052	95	95
17.0	7.592929	82	82
18.0	7.717565	41	41
19.0	7.827832	23	23
20.0	7.925387	27	27
21.0	8.011695	18	18
22.0	8.088052	4	4
23.0	8.155607	6	6
24.0	8.215374	7	7
25.0	8.26825	2	2
26.0	8.31503	3	3
27.0	8.356417	0	0
28.0	8.393033	1	1
29.0	8.425428	0	0
30.0	8.454087	0	0
31.0	8.479443	1	1
32.0	8.501876	0	0
33.0	8.521722	0	0
34.0	8.53928	0	0
35.0	8.554814	1	1
36.0	8.568558	0	0
37.0	8.580717	1	1
38.0	8.591474	0	0
39.0	8.60099	0	0
40.0	8.60941	0	0
41.0	8.616859	0	0
42.0	8.62345	1	1
43.0	8.62928	0	0
44.0	8.634438	0	0
45.0	8.639002	0	0
46.0	8.64304	0	0
47.0	8.646612	0	0
48.0	8.649772	0	0
49.0	8.652568	0	0
50.0	8.655041	0	0
51.0	8.65723	0	0
52.0	8.659166	0	0
53.0	8.660879	0	0
54.0	8.662394	0	0
55.0	8.663735	0	0
56.0	8.664921	0	0
57.0	8.66597	0	0
58.0	8.666899	0	0
59.0	8.66772	0	0
60.0	8.668447	0	0
61.0	8.66909	0	0
62.0	8.669659	0	0
63.0	8.670162	0	0
64.0	8.670607	0	0
65.0	8.671001	0	0
66.0	8.671349	0	0
67.0	8.671658	0	0
68.0	8.67193	0	0
69.0	8.672172	0	0
70.0	8.672385	0	0
71.0	8.672574	0	0
72.0	8.672741	0	0
73.0	8.672889	0	0
74.0	8.67302	0	0
75.0	8.673136	0	0
76.0	8.673238	0	0
77.0	8.673328	0	0
78.0	8.673409	0	0
79.0	8.673479	0	0
80.0	8.673542	0	0
81.0	8.673598	0	0
82.0	8.673647	0	0
83.0	8.67369	0	0
84.0	8.673729	0	0
85.0	8.673763	0	0
86.0	8.673793	0	0
87.0	8.673819	0	0
88.0	8.673843	0	0
89.0	8.673864	0	0
90.0	8.673882	0	0
91.0	8.673898	0	0
92.0	8.673913	0	0
93.0	8.673926	0	0
94.0	8.673937	0	0
95.0	8.673947	0	0
96.0	8.673956	0	0
97.0	8.673964	0	0
98.0	8.67397	0	0
99.0	8.673977	0	0
100.0	8.673982	0	0

